R,G,B,,Class
241,236,217,,1
241,236,216,,1
240,236,216,,1
238,236,215,,1
238,236,215,,1
239,237,216,,1
240,238,217,,1
239,237,216,,1
239,237,216,,1
239,237,216,,1
239,237,216,,1
239,237,216,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
238,235,216,,1
238,235,216,,1
238,235,216,,1
238,235,216,,1
240,235,216,,1
240,233,217,,1
236,229,213,,1
238,231,215,,1
240,234,218,,1
238,232,216,,1
239,232,216,,1
239,232,216,,1
239,232,216,,1
239,232,216,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,219,,1
240,236,224,,1
239,236,221,,1
239,236,221,,1
236,233,216,,1
237,234,217,,1
236,233,215,,1
236,233,214,,1
235,232,213,,1
234,229,208,,1
232,219,193,,0
232,220,194,,0
233,221,195,,0
230,219,191,,0
230,216,187,,0
234,218,183,,0
224,202,163,,0
219,192,152,,0
192,160,118,,0
114,91,88,,0
149,118,108,,0
182,150,133,,0
211,191,166,,0
219,202,172,,0
228,210,180,,0
230,210,181,,0
219,200,171,,0
216,198,172,,0
224,209,185,,0
230,218,197,,0
232,223,204,,0
233,226,208,,1
234,227,209,,1
236,229,211,,1
235,229,210,,1
233,228,208,,1
233,228,206,,1
233,227,205,,1
233,227,203,,1
236,230,206,,1
237,231,209,,1
238,231,211,,1
238,232,212,,1
239,232,212,,1
239,233,211,,1
240,234,212,,1
240,233,213,,1
240,233,213,,1
240,233,213,,1
239,232,214,,1
240,233,215,,1
240,234,215,,1
240,235,216,,1
240,235,216,,1
239,236,217,,1
238,237,217,,1
239,238,218,,1
239,238,218,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
240,239,221,,1
240,239,221,,1
240,239,221,,1
240,239,221,,1
240,238,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,237,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
240,239,221,,1
240,239,221,,1
239,238,220,,1
238,237,219,,1
240,236,216,,1
241,236,215,,1
241,236,213,,1
242,236,211,,1
242,236,209,,1
243,236,208,,1
244,236,207,,1
242,233,201,,1
243,234,202,,1
241,232,200,,1
241,234,202,,1
241,233,207,,1
242,234,212,,1
242,235,217,,1
242,235,219,,1
241,235,219,,1
240,236,218,,1
240,236,217,,1
239,236,216,,1
238,236,215,,1
239,237,216,,1
240,238,217,,1
240,238,217,,1
239,237,216,,1
239,237,216,,1
239,237,216,,1
239,237,216,,1
239,237,216,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
238,235,216,,1
238,235,216,,1
238,235,216,,1
238,235,216,,1
239,235,216,,1
239,232,216,,1
238,231,215,,1
241,234,218,,1
241,235,219,,1
238,232,216,,1
239,232,216,,1
239,232,216,,1
239,232,216,,1
239,232,216,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,219,,1
237,234,221,,1
240,237,222,,1
240,237,222,,1
236,233,216,,1
236,233,216,,1
236,233,215,,1
237,234,215,,1
234,231,212,,1
234,229,208,,1
241,228,203,,1
236,224,198,,1
231,219,193,,0
230,219,191,,0
232,219,189,,0
233,216,182,,0
228,206,167,,0
217,191,149,,0
201,169,126,,0
104,80,77,,0
145,114,104,,0
198,166,149,,0
222,203,177,,0
223,208,178,,0
225,208,178,,0
226,207,177,,0
217,198,169,,0
219,200,174,,0
226,209,186,,0
232,218,198,,0
234,223,205,,0
234,226,209,,1
235,228,210,,1
236,229,211,,1
235,229,210,,1
233,228,208,,1
235,230,208,,1
232,226,204,,1
232,226,202,,1
235,229,205,,1
238,232,211,,1
238,232,212,,1
239,232,213,,1
239,233,213,,1
240,234,213,,1
240,234,213,,1
240,233,214,,1
240,233,214,,1
240,233,214,,1
240,233,215,,1
240,233,215,,1
241,234,216,,1
240,235,216,,1
241,236,217,,1
238,235,216,,1
238,237,217,,1
238,237,217,,1
239,238,218,,1
239,238,219,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
239,237,219,,1
238,237,219,,1
238,237,219,,1
238,237,219,,1
238,237,219,,1
240,239,221,,1
240,239,221,,1
239,238,220,,1
238,237,219,,1
239,237,219,,1
240,238,217,,1
241,237,216,,1
241,238,214,,1
242,238,213,,1
242,237,211,,1
244,237,210,,1
241,235,206,,1
243,237,206,,1
241,235,204,,1
243,236,208,,1
243,236,210,,1
242,235,213,,1
241,234,216,,1
241,235,219,,1
240,235,220,,1
239,236,218,,1
239,236,217,,1
239,236,216,,1
238,236,215,,1
239,237,216,,1
240,238,217,,1
240,238,217,,1
239,237,216,,1
239,237,216,,1
239,237,216,,1
239,237,216,,1
239,237,216,,1
238,235,216,,1
238,235,216,,1
238,235,216,,1
238,235,216,,1
238,235,216,,1
238,235,216,,1
238,235,216,,1
238,235,216,,1
239,235,216,,1
239,232,216,,1
240,233,217,,1
242,235,219,,1
241,235,219,,1
239,233,217,,1
240,233,217,,1
240,233,217,,1
240,233,217,,1
239,233,217,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,220,,1
241,237,224,,1
217,214,199,,0
205,202,187,,0
243,240,223,,1
236,233,216,,1
237,234,216,,1
237,234,215,,1
234,231,212,,1
233,228,206,,1
231,219,193,,0
216,204,178,,0
229,217,191,,0
236,225,197,,1
235,222,192,,0
234,217,183,,0
237,215,176,,0
222,196,154,,0
210,180,136,,0
112,88,85,,0
148,118,108,,0
200,169,152,,0
220,202,176,,0
219,204,173,,0
219,202,172,,0
223,205,175,,0
219,200,170,,0
215,195,168,,0
217,200,177,,0
224,209,189,,0
229,217,200,,0
231,222,205,,0
232,225,207,,1
234,227,209,,1
235,228,210,,1
234,229,209,,1
236,231,209,,1
235,229,207,,1
234,228,204,,1
235,229,205,,1
238,233,211,,1
238,233,213,,1
239,234,214,,1
239,234,214,,1
240,235,215,,1
239,234,214,,1
239,234,214,,1
239,234,214,,1
239,234,214,,1
241,234,216,,1
241,234,216,,1
241,235,216,,1
241,236,217,,1
242,237,218,,1
238,235,216,,1
237,236,216,,1
238,237,217,,1
238,237,217,,1
239,238,219,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
238,237,219,,1
238,237,219,,1
238,237,219,,1
238,237,219,,1
239,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
241,238,221,,1
241,238,221,,1
241,238,221,,1
241,238,221,,1
240,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
240,239,221,,1
240,239,221,,1
239,238,220,,1
238,237,219,,1
238,237,219,,1
239,238,218,,1
239,238,218,,1
240,238,217,,1
240,238,215,,1
239,236,212,,1
242,238,211,,1
241,236,208,,1
243,238,209,,1
242,236,206,,1
243,236,207,,1
243,236,210,,1
242,235,215,,1
241,235,217,,1
241,235,221,,1
239,236,221,,1
239,236,220,,1
239,236,218,,1
239,236,216,,1
238,236,215,,1
239,237,216,,1
240,238,217,,1
240,238,217,,1
239,237,216,,1
239,237,216,,1
239,237,216,,1
239,237,216,,1
239,237,216,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
238,235,216,,1
238,235,216,,1
238,235,216,,1
238,235,216,,1
239,235,216,,1
239,232,216,,1
238,231,215,,1
241,234,218,,1
241,235,219,,1
240,234,218,,1
241,234,218,,1
241,234,218,,1
241,234,218,,1
240,234,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
242,238,225,,1
206,203,188,,0
190,187,172,,0
245,242,225,,1
238,235,218,,1
238,235,217,,1
236,233,214,,1
233,230,211,,1
232,227,206,,1
236,224,198,,1
220,208,182,,0
232,220,194,,0
235,224,196,,0
231,218,188,,0
235,218,184,,0
238,216,176,,0
229,204,161,,0
206,176,132,,0
98,78,74,,0
149,119,110,,0
205,172,158,,0
220,200,175,,0
220,205,174,,0
219,202,172,,0
216,198,166,,0
208,189,157,,0
206,187,157,,0
205,188,159,,0
212,195,171,,0
223,207,185,,0
229,218,198,,0
230,222,203,,0
234,226,207,,1
236,229,209,,1
236,230,208,,1
238,232,210,,1
238,232,210,,1
237,231,207,,1
235,229,205,,1
238,233,212,,1
238,233,213,,1
239,234,214,,1
240,235,215,,1
240,235,215,,1
239,234,214,,1
239,234,214,,1
239,234,214,,1
239,234,214,,1
240,235,216,,1
240,235,216,,1
241,236,217,,1
242,237,218,,1
242,237,218,,1
237,234,215,,1
236,235,215,,1
237,236,216,,1
238,237,217,,1
239,238,219,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
238,237,219,,1
238,237,219,,1
238,237,219,,1
238,237,219,,1
239,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
241,238,221,,1
241,238,221,,1
241,238,221,,1
241,238,221,,1
240,238,221,,1
240,239,221,,1
240,239,221,,1
240,239,221,,1
240,239,221,,1
240,239,221,,1
240,239,221,,1
239,238,220,,1
238,237,219,,1
238,237,219,,1
236,237,219,,1
238,237,219,,1
238,237,217,,1
238,237,216,,1
238,236,214,,1
239,237,214,,1
239,235,210,,1
242,238,212,,1
240,235,209,,1
240,234,208,,1
240,236,211,,1
241,236,215,,1
241,236,218,,1
241,235,219,,1
239,236,219,,1
239,236,219,,1
239,236,218,,1
239,236,216,,1
238,236,215,,1
239,237,216,,1
240,238,217,,1
240,238,217,,1
239,237,216,,1
239,237,216,,1
239,237,216,,1
239,237,216,,1
239,237,216,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
238,235,216,,1
238,235,216,,1
238,235,216,,1
238,235,216,,1
238,235,216,,1
239,232,216,,1
235,228,212,,1
237,231,215,,1
240,234,218,,1
240,234,218,,1
240,234,218,,1
240,234,218,,1
240,234,218,,1
240,234,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,219,,1
235,232,217,,1
239,236,221,,1
241,238,223,,1
236,233,218,,1
238,235,218,,1
238,235,218,,1
236,233,214,,1
233,231,210,,1
232,227,205,,1
234,221,196,,0
235,222,196,,0
229,217,191,,0
229,218,190,,0
229,214,184,,0
231,215,180,,0
231,209,169,,0
232,207,166,,0
195,163,120,,0
97,80,80,,0
141,112,107,,0
195,159,151,,0
216,191,169,,0
224,204,177,,0
216,199,167,,0
212,196,160,,0
200,185,146,,0
193,178,136,,0
187,168,128,,0
193,170,133,,0
210,186,152,,0
228,213,188,,0
230,218,197,,0
235,223,201,,0
237,226,204,,1
238,229,204,,1
239,232,206,,1
229,221,198,,0
229,223,199,,0
237,231,208,,1
238,232,212,,1
239,232,214,,1
240,233,215,,1
241,234,216,,1
240,235,216,,1
240,235,216,,1
240,233,215,,1
240,233,215,,1
241,234,216,,1
239,235,218,,1
239,235,218,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
240,237,218,,1
241,238,219,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,238,219,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
241,240,222,,1
240,239,221,,1
239,238,220,,1
238,237,219,,1
239,237,219,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
240,236,217,,1
240,236,217,,1
239,236,217,,1
239,236,217,,1
241,238,219,,1
240,237,218,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
238,235,216,,1
239,236,217,,1
239,236,217,,1
238,235,216,,1
237,234,215,,1
237,234,215,,1
237,233,216,,1
238,235,218,,1
239,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
239,235,218,,1
239,235,218,,1
238,235,218,,1
236,233,218,,1
236,233,218,,1
237,234,219,,1
238,235,220,,1
238,235,220,,1
238,235,220,,1
238,235,220,,1
238,235,220,,1
237,234,219,,1
236,235,218,,1
236,234,219,,1
237,233,221,,1
237,233,221,,1
239,234,222,,1
241,235,220,,1
240,235,216,,1
238,232,210,,1
236,229,206,,1
241,226,201,,1
234,218,192,,0
231,217,189,,0
235,222,189,,0
234,220,184,,0
230,212,174,,0
235,213,174,,0
232,207,166,,0
170,139,98,,0
98,81,81,,0
138,110,105,,0
181,145,138,,0
210,184,164,,0
214,194,168,,0
211,194,162,,0
215,200,165,,0
212,198,159,,0
200,184,143,,0
186,166,127,,0
185,162,126,,0
201,176,142,,0
204,188,163,,0
217,205,183,,0
231,219,197,,0
235,223,200,,0
235,226,200,,1
235,228,202,,1
225,217,194,,0
230,224,200,,0
236,230,206,,1
236,229,210,,1
239,232,214,,1
242,235,217,,1
240,234,216,,1
237,232,213,,1
240,235,216,,1
239,232,214,,1
239,232,214,,1
241,234,216,,1
239,234,218,,1
238,235,218,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,219,,1
240,237,218,,1
240,237,218,,1
241,238,219,,1
241,238,219,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,238,219,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
238,237,219,,1
238,237,219,,1
238,237,219,,1
239,237,219,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
236,233,214,,1
237,234,215,,1
237,234,215,,1
238,235,216,,1
240,237,218,,1
240,237,218,,1
241,238,219,,1
239,236,217,,1
238,235,216,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
238,235,216,,1
239,236,217,,1
239,236,217,,1
238,235,216,,1
237,234,215,,1
237,234,215,,1
236,233,216,,1
237,234,217,,1
238,235,218,,1
237,234,217,,1
238,235,218,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
236,233,218,,1
236,233,218,,1
237,234,219,,1
238,235,220,,1
236,233,218,,1
225,222,207,,0
237,234,219,,1
237,234,219,,1
239,236,221,,1
236,235,217,,1
236,234,219,,1
237,233,221,,1
237,233,221,,1
238,232,220,,1
240,234,220,,1
240,234,217,,1
240,233,213,,1
238,231,208,,1
240,225,202,,1
236,220,195,,0
235,221,193,,0
232,219,187,,0
231,215,181,,0
229,211,173,,0
239,216,176,,0
228,203,161,,0
100,84,84,,0
126,97,93,,0
181,145,137,,0
209,183,164,,0
203,183,158,,0
213,195,166,,0
224,210,174,,0
219,205,168,,0
202,187,148,,0
173,154,117,,0
163,140,104,,0
179,154,121,,0
197,181,156,,0
216,204,182,,0
232,220,198,,0
235,224,201,,1
236,227,202,,1
234,227,201,,1
237,229,206,,1
236,230,206,,1
236,230,206,,1
235,228,209,,1
238,231,213,,1
241,234,216,,1
240,233,215,,1
236,231,212,,1
239,234,215,,1
241,234,216,,1
241,234,216,,1
241,234,216,,1
239,234,217,,1
238,235,218,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
241,238,219,,1
241,238,219,,1
241,238,219,,1
241,238,219,,1
241,238,219,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,238,219,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
238,237,219,,1
238,237,219,,1
238,237,219,,1
238,237,219,,1
239,237,219,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
238,235,216,,1
238,235,216,,1
239,236,217,,1
240,237,218,,1
241,238,219,,1
239,236,217,,1
240,237,218,,1
239,236,217,,1
238,235,216,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
238,235,216,,1
239,236,217,,1
239,236,217,,1
238,235,216,,1
237,234,215,,1
237,234,215,,1
235,232,215,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
236,233,218,,1
236,233,218,,1
237,234,219,,1
238,235,220,,1
235,232,217,,1
222,219,204,,0
236,233,218,,1
236,233,218,,1
240,237,222,,1
237,236,218,,1
237,235,220,,1
237,233,221,,1
236,232,220,,1
237,232,220,,1
239,233,219,,1
240,234,217,,1
239,233,213,,1
238,231,208,,1
241,225,202,,1
232,218,192,,0
233,219,191,,0
233,218,187,,0
217,202,165,,0
213,194,155,,0
234,211,170,,0
219,192,149,,0
96,80,80,,0
123,94,90,,0
185,149,142,,0
198,173,156,,0
212,192,169,,0
226,211,183,,0
225,211,177,,0
221,208,172,,0
210,194,158,,0
191,172,136,,0
186,163,130,,0
200,176,145,,0
214,198,173,,0
227,215,193,,0
232,220,198,,0
230,219,196,,0
235,225,200,,1
235,228,202,,1
232,224,201,,0
234,228,204,,1
238,232,208,,1
237,230,211,,1
238,231,213,,1
238,231,213,,1
239,232,214,,1
238,233,214,,1
239,234,215,,1
231,224,206,,0
229,222,204,,0
241,234,216,,1
240,234,217,,1
238,235,218,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
241,238,219,,1
240,237,218,,1
240,237,218,,1
239,236,217,,1
238,235,216,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,238,219,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
238,237,219,,1
239,238,220,,1
240,239,221,,1
240,239,221,,1
241,239,220,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
240,237,218,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
238,235,216,,1
235,232,213,,1
238,235,216,,1
238,235,216,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
238,235,216,,1
239,236,217,,1
239,236,217,,1
238,235,216,,1
237,234,215,,1
237,234,215,,1
234,231,214,,1
236,233,216,,1
237,234,217,,1
236,233,216,,1
236,233,216,,1
236,233,216,,1
236,233,216,,1
236,233,216,,1
236,233,216,,1
236,233,218,,1
236,233,218,,1
237,234,219,,1
238,235,220,,1
239,236,221,,1
238,235,220,,1
239,236,221,,1
238,235,220,,1
237,234,219,,1
238,237,219,,1
237,235,220,,1
237,233,221,,1
235,231,219,,1
237,232,220,,1
239,233,220,,1
238,232,215,,1
237,230,211,,1
235,227,205,,1
234,220,197,,0
230,216,190,,0
235,221,193,,0
232,217,185,,0
216,199,163,,0
213,192,152,,0
233,207,166,,0
207,176,132,,0
94,78,78,,0
115,87,82,,0
177,141,134,,0
199,175,159,,0
214,196,174,,0
225,209,183,,0
231,218,186,,0
227,214,179,,0
212,198,163,,0
209,191,157,,0
216,194,163,,0
219,197,166,,0
227,211,186,,0
230,218,196,,0
233,221,199,,0
233,221,198,,0
235,225,200,,1
233,226,200,,1
235,227,204,,1
238,232,208,,1
238,232,209,,1
239,232,213,,1
239,232,214,,1
239,232,214,,1
239,233,215,,1
239,234,215,,1
238,233,214,,1
234,227,209,,1
234,227,209,,1
240,233,215,,1
240,234,217,,1
238,235,218,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,218,,1
239,236,217,,1
238,235,216,,1
237,234,215,,1
237,234,215,,1
240,237,218,,1
240,237,218,,1
239,236,217,,1
238,235,216,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,238,219,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
240,238,219,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
238,235,216,,1
238,235,216,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
238,235,216,,1
239,236,217,,1
238,235,216,,1
238,235,216,,1
237,234,215,,1
237,234,215,,1
236,233,216,,1
236,233,216,,1
236,233,216,,1
236,233,216,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
235,232,217,,1
236,233,218,,1
237,234,219,,1
239,236,221,,1
237,234,219,,1
238,235,220,,1
237,234,219,,1
238,235,220,,1
238,235,220,,1
237,236,218,,1
237,235,220,,1
238,234,222,,1
237,233,221,,1
239,233,221,,1
235,229,215,,1
234,228,211,,1
237,230,210,,1
233,225,202,,1
228,214,191,,0
233,219,193,,0
238,224,196,,1
235,220,187,,0
234,217,180,,0
231,208,167,,0
230,201,158,,0
90,74,74,,0
110,82,77,,0
175,139,132,,0
199,176,162,,0
222,205,185,,0
231,216,191,,0
230,217,188,,0
223,211,178,,0
221,208,173,,0
218,203,169,,0
225,205,175,,0
236,213,185,,0
231,216,193,,0
233,221,199,,0
235,223,201,,0
235,224,201,,1
236,226,201,,1
234,227,201,,1
236,228,205,,1
237,231,207,,1
239,233,209,,1
239,233,213,,1
239,232,214,,1
239,232,214,,1
239,233,214,,1
238,233,214,,1
238,233,214,,1
238,231,213,,1
238,231,213,,1
241,234,216,,1
239,235,218,,1
238,235,218,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
239,236,218,,1
239,236,217,,1
238,235,216,,1
238,235,216,,1
237,234,215,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
238,235,216,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,238,219,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,219,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
241,238,219,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
238,235,216,,1
238,235,216,,1
237,234,215,,1
236,233,214,,1
236,233,214,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
235,232,217,,1
236,233,218,,1
237,234,219,,1
239,236,221,,1
238,235,220,,1
238,235,220,,1
238,235,220,,1
238,235,220,,1
238,235,220,,1
237,236,218,,1
237,235,220,,1
238,234,222,,1
238,234,222,,1
239,234,222,,1
235,229,215,,1
235,229,211,,1
238,231,211,,1
233,225,203,,1
230,216,195,,0
233,219,195,,0
237,224,196,,1
236,221,189,,0
237,219,181,,0
231,207,164,,0
222,192,146,,0
93,77,77,,0
114,86,81,,0
168,132,125,,0
198,175,161,,0
227,210,193,,0
232,217,195,,0
230,217,190,,0
229,217,186,,0
224,211,178,,0
222,206,174,,0
232,212,183,,0
235,214,188,,0
233,218,195,,0
236,224,202,,1
237,225,203,,1
237,226,203,,1
238,228,203,,1
237,230,204,,1
238,230,207,,1
238,232,208,,1
240,234,210,,1
238,231,212,,1
238,231,213,,1
238,231,213,,1
238,231,213,,1
237,232,213,,1
238,233,214,,1
238,231,213,,1
239,232,214,,1
241,234,216,,1
239,235,218,,1
238,235,218,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,219,,1
240,237,218,,1
239,236,217,,1
238,235,216,,1
238,235,216,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,238,219,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,220,,1
239,238,219,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
241,238,219,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
237,234,215,,1
237,234,215,,1
236,233,214,,1
236,233,214,,1
235,232,213,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
236,233,218,,1
237,234,219,,1
