R,G,B,,Class
231,209,175,,0
227,201,166,,0
227,198,166,,0
238,211,180,,0
222,197,168,,0
206,185,159,,0
189,172,144,,0
160,146,113,,0
137,119,90,,0
132,106,86,,0
112,88,81,,0
158,131,121,,0
195,168,152,,0
229,204,184,,0
234,209,187,,0
233,211,185,,0
241,220,191,,0
233,214,182,,0
233,217,184,,0
235,218,188,,0
238,221,193,,0
234,221,185,,0
230,218,179,,0
228,216,179,,0
226,213,179,,0
233,219,189,,0
234,220,191,,0
235,220,195,,0
237,222,199,,0
239,224,202,,1
239,223,200,,1
234,218,195,,0
234,219,197,,0
237,224,204,,1
235,223,204,,1
238,229,212,,1
237,230,214,,1
236,230,216,,1
237,231,218,,1
238,232,220,,1
239,233,221,,1
239,233,221,,1
239,233,221,,1
239,233,221,,1
239,233,221,,1
239,233,221,,1
239,233,221,,1
239,233,221,,1
237,234,222,,1
237,236,223,,1
238,236,222,,1
237,235,220,,1
236,233,218,,1
236,233,216,,1
238,232,216,,1
238,233,214,,1
239,233,214,,1
239,233,214,,1
237,230,211,,1
237,229,210,,1
239,232,213,,1
239,232,213,,1
237,230,211,,1
238,231,212,,1
239,232,213,,1
240,232,213,,1
239,232,212,,1
237,231,208,,1
237,230,208,,1
236,230,207,,1
235,229,206,,1
234,227,205,,1
234,228,205,,1
235,228,206,,1
235,229,206,,1
237,228,203,,1
237,222,195,,0
233,219,192,,0
234,219,193,,0
231,216,189,,0
229,214,187,,0
232,218,191,,0
236,221,194,,0
238,223,197,,1
238,224,196,,1
237,225,194,,1
237,222,191,,0
235,217,184,,0
233,212,179,,0
239,214,183,,0
239,216,185,,0
226,205,175,,0
219,200,173,,0
220,205,175,,0
204,196,155,,0
174,157,123,,0
132,105,80,,0
153,117,99,,0
97,58,48,,0
83,50,42,,0
69,46,39,,0
97,72,67,,0
140,111,100,,0
194,165,150,,0
230,204,185,,0
232,210,188,,0
232,210,186,,0
236,216,187,,0
235,216,184,,0
236,217,185,,0
235,219,186,,0
238,221,191,,0
235,218,192,,0
230,216,182,,0
229,216,181,,0
231,218,184,,0
233,220,187,,0
235,221,193,,0
237,223,197,,0
238,224,200,,1
240,225,204,,1
241,226,207,,1
240,224,204,,1
239,223,204,,1
240,225,206,,1
240,227,210,,1
239,228,212,,1
239,230,214,,1
238,231,218,,1
238,232,218,,1
237,233,221,,1
237,233,221,,1
237,233,221,,1
237,233,221,,1
237,233,221,,1
237,233,221,,1
238,234,222,,1
238,234,222,,1
238,234,222,,1
238,234,222,,1
236,234,222,,1
234,235,222,,1
234,235,221,,1
235,235,221,,1
236,234,219,,1
237,234,219,,1
237,234,217,,1
239,233,217,,1
239,233,217,,1
239,233,216,,1
238,233,214,,1
238,233,214,,1
238,233,214,,1
238,233,214,,1
238,233,214,,1
238,233,214,,1
238,233,214,,1
238,233,214,,1
238,233,213,,1
237,232,212,,1
237,232,212,,1
237,232,212,,1
237,232,212,,1
236,231,211,,1
236,231,211,,1
235,230,210,,1
235,230,210,,1
236,229,207,,1
240,226,203,,1
238,224,201,,1
235,222,198,,0
234,220,197,,0
235,222,198,,0
232,218,195,,0
230,217,193,,0
234,220,197,,0
236,225,199,,1
238,227,200,,1
237,225,197,,1
237,222,191,,0
235,219,187,,0
235,216,184,,0
234,215,183,,0
230,212,183,,0
233,216,189,,0
239,225,195,,1
218,213,172,,0
205,190,154,,0
169,142,112,,0
120,82,59,,0
94,54,35,,0
92,56,42,,0
82,54,41,,0
74,55,42,,0
91,67,66,,0
132,105,98,,0
191,163,150,,0
218,191,173,,0
231,209,186,,0
234,214,189,,0
233,214,185,,0
237,218,186,,0
234,218,184,,0
236,220,186,,0
232,216,184,,0
231,214,186,,0
230,213,187,,0
228,214,184,,0
229,218,187,,0
234,223,192,,0
236,225,195,,1
235,224,196,,0
236,224,198,,1
237,225,201,,1
238,226,204,,1
239,226,207,,1
241,225,208,,1
241,225,209,,1
242,227,210,,1
241,228,211,,1
240,230,213,,1
239,231,215,,1
239,232,216,,1
238,233,219,,1
237,234,219,,1
237,234,220,,1
237,234,221,,1
236,234,221,,1
236,234,221,,1
236,234,221,,1
237,235,222,,1
237,235,222,,1
237,235,222,,1
237,235,222,,1
236,236,222,,1
235,236,222,,1
236,236,222,,1
237,235,220,,1
237,235,220,,1
237,234,217,,1
239,233,217,,1
239,234,215,,1
239,234,215,,1
239,234,215,,1
238,233,214,,1
238,233,214,,1
238,233,214,,1
238,233,214,,1
238,233,214,,1
238,233,214,,1
238,233,214,,1
238,233,214,,1
238,233,214,,1
237,232,213,,1
237,232,213,,1
237,232,213,,1
237,232,213,,1
238,233,214,,1
237,232,213,,1
237,232,213,,1
236,231,212,,1
237,230,211,,1
239,228,208,,1
239,228,208,,1
238,227,207,,1
238,227,207,,1
237,226,206,,1
236,225,205,,1
234,223,203,,0
231,220,200,,0
229,218,197,,0
231,221,196,,0
237,226,201,,1
240,228,199,,1
238,225,194,,1
237,223,192,,0
233,219,188,,0
233,218,188,,0
233,218,190,,0
231,217,188,,0
233,225,189,,0
234,220,186,,0
217,195,163,,0
187,156,127,,0
146,112,86,,0
117,82,60,,0
88,56,37,,0
81,54,36,,0
72,48,33,,0
92,70,71,,0
117,93,89,,0
180,156,146,,0
219,196,181,,0
223,201,182,,0
232,215,189,,0
235,218,190,,0
233,216,185,,0
236,220,187,,0
234,218,184,,0
232,216,182,,0
228,211,180,,0
232,212,185,,0
236,216,191,,0
231,216,189,,0
233,222,194,,0
238,226,200,,1
239,227,201,,1
237,225,201,,1
236,224,200,,1
237,225,201,,1
239,227,203,,1
240,228,204,,1
243,229,209,,1
243,228,212,,1
242,229,212,,1
242,231,213,,1
240,231,214,,1
239,232,214,,1
239,234,215,,1
237,234,215,,1
237,236,218,,1
237,235,219,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
238,236,221,,1
238,236,221,,1
239,236,221,,1
239,236,219,,1
240,235,219,,1
239,233,216,,1
240,233,215,,1
240,233,214,,1
240,233,214,,1
240,233,214,,1
239,232,213,,1
239,232,213,,1
239,232,213,,1
239,232,213,,1
239,232,213,,1
239,232,213,,1
239,232,213,,1
239,232,213,,1
239,232,213,,1
238,231,213,,1
238,231,213,,1
238,231,213,,1
238,231,213,,1
240,233,215,,1
240,233,215,,1
239,232,214,,1
238,231,213,,1
238,231,212,,1
239,231,212,,1
239,231,212,,1
240,231,212,,1
240,232,213,,1
234,226,207,,1
237,229,210,,1
237,229,210,,1
234,226,207,,1
232,224,205,,0
232,224,203,,0
229,222,197,,0
230,222,193,,0
233,224,193,,0
237,228,195,,1
234,223,192,,0
236,221,194,,0
234,220,193,,0
227,213,186,,0
223,212,184,,0
238,224,194,,1
236,218,186,,0
220,199,167,,0
197,170,140,,0
150,120,90,,0
88,54,28,,0
72,36,14,,0
81,46,27,,0
120,94,95,,0
164,139,134,,0
230,207,196,,0
234,215,200,,0
223,206,186,,0
233,218,190,,0
235,220,189,,0
233,217,184,,0
234,219,185,,0
232,216,181,,0
229,213,179,,0
228,212,180,,0
235,216,188,,0
240,220,195,,0
236,222,199,,0
235,224,202,,1
237,226,203,,1
237,226,204,,1
237,227,202,,1
236,226,201,,1
237,227,200,,1
238,228,202,,1
240,229,203,,1
242,230,209,,1
243,230,211,,1
242,229,211,,1
241,230,212,,1
239,231,212,,1
240,233,214,,1
239,234,214,,1
238,236,215,,1
238,237,216,,1
238,237,218,,1
238,237,219,,1
238,237,219,,1
238,237,219,,1
238,237,219,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,235,218,,1
238,235,218,,1
239,234,218,,1
239,235,217,,1
241,234,216,,1
240,233,215,,1
241,233,214,,1
241,233,213,,1
241,233,212,,1
240,233,213,,1
240,232,213,,1
240,232,213,,1
240,232,213,,1
240,232,213,,1
240,232,213,,1
240,232,213,,1
240,232,213,,1
240,232,213,,1
239,232,213,,1
239,231,212,,1
239,231,212,,1
239,231,212,,1
239,231,212,,1
241,233,214,,1
240,232,213,,1
239,231,213,,1
239,231,212,,1
239,231,212,,1
239,230,213,,1
239,230,213,,1
239,230,213,,1
239,230,213,,1
237,229,211,,1
238,230,212,,1
239,230,213,,1
238,230,212,,1
238,229,211,,1
237,229,210,,1
231,223,201,,0
227,221,194,,0
228,222,193,,0
232,226,194,,0
235,226,195,,1
234,223,194,,0
234,222,194,,0
236,222,196,,0
236,221,199,,0
229,215,190,,0
223,209,178,,0
228,214,180,,0
208,189,153,,0
191,165,132,,0
149,117,88,,0
106,65,41,,0
73,31,12,,0
75,40,27,,0
126,102,99,,0
157,133,129,,0
217,196,188,,0
243,225,212,,1
236,222,205,,0
229,218,197,,0
234,222,193,,0
234,220,188,,0
233,219,187,,0
234,220,187,,0
230,216,183,,0
232,217,186,,0
233,217,188,,0
235,219,193,,0
237,221,197,,0
237,224,201,,1
236,225,202,,1
237,225,202,,1
237,226,203,,1
237,226,203,,1
236,227,204,,1
237,228,205,,1
237,229,206,,1
238,230,207,,1
240,230,210,,1
241,229,211,,1
240,230,213,,1
239,232,213,,1
239,232,213,,1
239,234,215,,1
239,234,215,,1
238,236,216,,1
239,236,217,,1
238,236,218,,1
237,236,220,,1
237,236,220,,1
237,236,220,,1
237,236,220,,1
237,235,219,,1
237,235,219,,1
237,235,219,,1
237,235,219,,1
237,235,218,,1
237,234,217,,1
238,234,217,,1
238,234,216,,1
239,234,216,,1
238,232,215,,1
239,232,214,,1
239,233,214,,1
239,234,215,,1
239,233,214,,1
239,232,213,,1
239,232,214,,1
240,232,214,,1
240,233,214,,1
239,232,214,,1
239,232,214,,1
240,233,214,,1
241,233,215,,1
240,232,214,,1
239,232,213,,1
239,232,213,,1
239,232,213,,1
239,232,213,,1
239,231,212,,1
239,231,212,,1
239,232,213,,1
239,232,213,,1
239,232,213,,1
238,232,215,,1
238,232,215,,1
238,231,214,,1
237,231,214,,1
239,233,216,,1
239,233,216,,1
239,232,215,,1
238,232,215,,1
238,232,214,,1
236,231,213,,1
235,231,210,,1
233,228,205,,1
231,226,199,,1
231,224,197,,0
234,224,195,,0
